game_id,game_type,game_name,game_releasedate,game_developer,game_publisher,game_price,game_discountedprice,game_discountpercent
10,app,Counter-Strike,"Nov 1, 2000",Valve,Valve,9.99,9.99,0
20,app,Team Fortress Classic,"Apr 1, 1999",Valve,Valve,4.99,4.99,0
30,app,Day of Defeat,"May 1, 2003",Valve,Valve,4.99,4.99,0
40,app,Deathmatch Classic,"Jun 1, 2001",Valve,Valve,4.99,4.99,0
50,app,Half-Life: Opposing Force,"Nov 1, 1999",Gearbox Software,Valve,4.99,4.99,0
60,app,Ricochet,"Nov 1, 2000",Valve,Valve,4.99,4.99,0
70,app,Half-Life,"Nov 8, 1998",Valve,Valve,9.99,9.99,0
130,app,Half-Life: Blue Shift,"Jun 1, 2001",Gearbox Software,Valve,4.99,4.99,0
199,sub,Classic Naval Combat Pack,nan,Sonalysts,Strategy First,29.99,5.99,80.03
200,sub,Complete Naval Combat Pack,nan,Sonalysts,Strategy First,29.99,5.99,80.03
215,bundle,"That Dragon, Cancer + Thank You For Playing",nan,Numinous Games,Numinous Games,15.98,15.98,0
220,app,Half-Life 2,"Nov 16, 2004",Valve,Valve,9.99,9.99,0
222,sub,Call of Duty Warchest,nan,Gray Matter Studios,Activision,29.99,19.99,33.34
231,bundle,Half-Life Complete,nan,Valve,Valve,36.52,36.52,0
232,bundle,Valve Complete Pack,nan,Valve,Valve,65.7,65.7,0
233,bundle,Left 4 Dead Bundle,nan,Valve,Valve,14.98,14.98,0
234,bundle,Portal Bundle,nan,Valve,Valve,14.98,14.98,0
235,bundle,Counter-Strike 1 Anthology,nan,Valve,Valve,14.96,14.96,0
236,bundle,Counter-Strike Complete,nan,Valve,Valve,12.98,12.98,0
237,bundle,Half-Life 1 Anthology,nan,Valve,Valve,13.71,13.71,0
240,app,Counter-Strike: Source,"Nov 1, 2004",Valve,Valve,9.99,9.99,0
243,bundle,Hatoful Boyfriend Complete Pack,nan,Mediatonic,Devolver Digital,25.56,25.56,0
247,bundle,F1 Game Franchise Bundle,nan,Codemasters Birmingham,Codemasters,269.92,269.92,0
249,bundle,The Complete GRID Bundle,nan,Codemasters Racing,Codemasters,130.68,130.68,0
254,bundle,SEGA DLC Pack,nan,Pyramid,Degica,11.97,11.97,0
258,bundle,TAITO DLC Pack,nan,Pyramid,Degica,11.97,11.97,0
260,bundle,The Complete FORCED Collection,nan,BetaDwarf,BetaDwarf,75.67,75.67,0
261,bundle,Resident Evil/Biohazard Collector's Pack,nan,Capcom,Capcom,126.93,126.93,0
263,bundle,Broken Sword: Complete Pack,nan,Revolution Software Ltd,Revolution Software Ltd,34.25,34.25,0
269,bundle,Homeworld: Deserts of Kharak Deluxe Edition,nan,Blackbird Interactive,Gearbox Publishing,69.37,69.37,0
274,bundle,Galactic Civilizations III Gold,nan,Stardock Entertainment,Stardock Entertainment,69.02,69.02,0
280,app,Half-Life: Source,"Jun 1, 2004",Valve,Valve,9.99,9.99,0
281,bundle,Enter The Gungeon Collector's Edition,nan,Dodge Roll,Devolver Digital,22.46,22.46,0
284,bundle,The Vanishing of Ethan Carter VR Bundle,nan,The Astronauts,The Astronauts,29.98,29.98,0
285,bundle,Fighting Fantasy,nan,Tin Man Games,Tin Man Games,19.95,19.95,0
287,sub,Space Empires IV and V Pack,nan,Malfador Machinations,Strategy First,19.99,3.99,80.04
300,app,Day of Defeat: Source,"Jul 12, 2010",Valve,Valve,9.99,9.99,0
303,bundle,Sengoku Jidai: Shadow of the Shogun Deluxe Edition,nan,Byzantine Games,Slitherine Ltd.,44.66,44.66,0
304,bundle,The Next World: Deluxe Bundle,nan,Illuminated Games,AAD Productions,17.21,17.21,0
307,bundle,World of Magicka Bundle,nan,Arrowhead Game Studios,Paradox Interactive,105.72,50.39,52.34
308,bundle,The Pit Osmium Edition Bundle,nan,Kerberos Productions Inc.,Kerberos Productions Inc.,13.74,13.74,0
309,bundle,Ticket to Ride - Collection Bundle,nan,Days of Wonder,Days of Wonder,42.39,42.39,0
311,bundle,Hyperdevotion Noire DLC Collection,nan,Idea Factory,Idea Factory International,20.71,20.71,0
313,bundle,The Detail Season One,nan,Rival Games Ltd,Rival Games Ltd,7.62,7.62,0
316,bundle,Wailing Heights Deluxe Edition,nan,Outsider Games,Outsider Games,12.73,12.73,0
320,app,Half-Life 2: Deathmatch,"Nov 1, 2004",Valve,Valve,4.99,4.99,0
326,sub,Railroad Tycoon Collection,nan,PopTop,2K,14.99,9.99,33.36
332,bundle,Zotrix Bundle,nan,ZeroBit Games,Ocean Media LLC,19.58,19.58,0
333,bundle,The Game Creators Collection,nan,The Game Creators,The Game Creators,189.94,65.2,65.67
337,bundle,Retool Special Edition,nan,"Hut 90, Inc.",Hut 90,10.78,10.78,0
341,bundle,Fossil Echo - Special Edition,nan,Awaceb,Awaceb,14.38,14.38,0
344,bundle,SAMOLIOTIK DELUXE EDITION,nan,Itanimulli Games,nan,1.38,1.38,0
346,bundle,"Linea, the Game - Complete Edition",nan,KHB-Soft,KHB-Soft,2.98,1.68,43.62
347,bundle,Astronomic Games,nan,Astronomic Games,New Reality Games,25.01,25.01,0
349,bundle,Project Cars Game of the Year Edition,nan,Slightly Mad Studios,Slightly Mad Studios,49.37,49.37,0
350,bundle,Puzzle Box - Game + OST Pack #1,nan,BplusGames,OtakuMaker.com,11.98,11.98,0
355,bundle,MX vs. ATV Collection,nan,Double Helix Games,THQ Nordic,245.17,245.17,0
356,bundle,Playism Bundle,nan,NIGORO,AGM PLAYISM,320.28,320.28,0
