game_id,game_name,indie,action,adventure,casual,simulation,strategy,rpg,early_access,free_to_play,sports,racing,massively_multiplayer
10,Counter-Strike,0,1,0,0,0,0,0,0,0,0,0,0
20,Team Fortress Classic,0,1,0,0,0,0,0,0,0,0,0,0
30,Day of Defeat,0,1,0,0,0,0,0,0,0,0,0,0
40,Deathmatch Classic,0,1,0,0,0,0,0,0,0,0,0,0
50,Half-Life: Opposing Force,0,1,0,0,0,0,0,0,0,0,0,0
60,Ricochet,0,1,0,0,0,0,0,0,0,0,0,0
70,Half-Life,0,1,0,0,0,0,0,0,0,0,0,0
130,Half-Life: Blue Shift,0,1,0,0,0,0,0,0,0,0,0,0
199,Classic Naval Combat Pack,0,0,0,0,0,1,0,0,0,0,0,0
200,Complete Naval Combat Pack,0,0,0,0,0,1,0,0,0,0,0,0
215,"That Dragon, Cancer + Thank You For Playing",1,0,1,0,0,0,0,0,0,0,0,0
220,Half-Life 2,0,1,0,0,0,0,0,0,0,0,0,0
222,Call of Duty Warchest,0,1,0,0,0,0,0,0,0,0,0,0
231,Half-Life Complete,0,1,0,0,0,0,0,0,0,0,0,0
232,Valve Complete Pack,0,1,1,0,0,1,0,0,1,0,0,0
233,Left 4 Dead Bundle,0,1,0,0,0,0,0,0,0,0,0,0
234,Portal Bundle,0,1,1,0,0,0,0,0,0,0,0,0
235,Counter-Strike 1 Anthology,0,1,0,0,0,0,0,0,0,0,0,0
236,Counter-Strike Complete,0,1,0,0,0,0,0,0,0,0,0,0
237,Half-Life 1 Anthology,0,1,0,0,0,0,0,0,0,0,0,0
240,Counter-Strike: Source,0,1,0,0,0,0,0,0,0,0,0,0
243,Hatoful Boyfriend Complete Pack,1,0,1,1,1,0,0,0,0,0,0,0
247,F1 Game Franchise Bundle,0,0,0,0,1,0,0,0,0,1,1,0
249,The Complete GRID Bundle,0,0,0,0,0,0,0,0,0,1,1,0
254,SEGA DLC Pack,0,1,0,0,0,0,0,0,0,0,0,0
258,TAITO DLC Pack,0,1,0,0,0,0,0,0,0,0,0,0
260,The Complete FORCED Collection,1,1,1,0,0,1,1,0,1,0,0,0
263,Broken Sword: Complete Pack,0,0,1,0,0,0,0,0,0,0,0,0
269,Homeworld: Deserts of Kharak Deluxe Edition,0,0,0,0,1,1,0,0,0,0,0,0
274,Galactic Civilizations III Gold,1,0,0,0,1,1,0,0,0,0,0,0
280,Half-Life: Source,0,1,0,0,0,0,0,0,0,0,0,0
284,The Vanishing of Ethan Carter VR Bundle,1,0,1,0,0,0,0,0,0,0,0,0
285,Fighting Fantasy,1,0,1,0,0,0,1,0,0,0,0,0
287,Space Empires IV and V Pack,0,0,0,0,0,1,0,0,0,0,0,0
300,Day of Defeat: Source,0,1,0,0,0,0,0,0,0,0,0,0
303,Sengoku Jidai: Shadow of the Shogun Deluxe Edition,0,0,0,0,0,1,0,0,0,0,0,0
304,The Next World: Deluxe Bundle,1,0,1,1,0,1,0,0,0,0,0,0
307,World of Magicka Bundle,0,1,1,0,0,0,1,0,0,0,0,0
308,The Pit Osmium Edition Bundle,1,0,0,1,0,1,1,0,0,0,0,0
309,Ticket to Ride - Collection Bundle,1,0,0,1,0,1,0,0,0,0,0,0
311,Hyperdevotion Noire DLC Collection,0,0,0,0,0,1,0,0,0,0,0,0
313,The Detail Season One,1,0,1,0,0,0,0,0,0,0,0,0
316,Wailing Heights Deluxe Edition,1,0,1,0,0,0,0,0,0,0,0,0
320,Half-Life 2: Deathmatch,0,1,0,0,0,0,0,0,0,0,0,0
326,Railroad Tycoon Collection,0,0,0,0,0,1,0,0,0,0,0,0
332,Zotrix Bundle,1,1,0,1,1,1,1,0,0,0,0,0
333,The Game Creators Collection,0,1,1,0,0,0,0,0,0,0,0,0
337,Retool Special Edition,1,1,0,0,0,1,0,0,0,0,0,0
341,Fossil Echo - Special Edition,1,1,1,0,0,0,0,0,0,0,0,0
344,SAMOLIOTIK DELUXE EDITION,1,1,0,1,0,0,0,0,0,0,0,0
346,"Linea, the Game - Complete Edition",1,1,0,1,0,0,0,0,0,0,0,0
347,Astronomic Games,1,1,1,0,0,1,1,0,0,0,0,0
349,Project Cars Game of the Year Edition,0,0,0,0,1,0,0,0,0,1,1,0
350,Puzzle Box - Game + OST Pack #1,1,1,1,1,0,1,0,0,0,0,0,0
355,MX vs. ATV Collection,0,0,0,0,1,0,0,0,0,1,1,0
356,Playism Bundle,1,1,1,1,1,1,1,0,0,0,0,0
357,Thomas Was Alone + Volume,1,1,0,0,0,0,0,0,0,0,0,0
358,Indie VR Bundle,1,1,1,1,0,0,0,0,0,0,0,0
359,Monstrum - Deluxe Edition,1,0,0,0,0,0,0,0,0,0,0,0
360,Half-Life Deathmatch: Source,0,1,0,0,0,0,0,0,0,0,0,0
361,Danganronpa 1 + 2,0,0,1,0,0,0,0,0,0,0,0,0
363,Subterrain - OST Edition,1,0,0,0,0,0,0,0,0,0,0,0
365,The Deed Collection,1,0,1,0,0,0,1,0,0,0,0,0
367,Age of Wonders Franchise,0,0,0,0,0,1,1,0,0,0,0,0
374,Goat Simulator: GOATY,1,0,0,1,1,0,0,0,0,0,0,0
375,NEOGEO Bundle,0,1,0,0,0,0,0,0,0,1,0,0
376,RPG Maker Millennium Collection,0,0,0,0,0,0,0,0,0,0,0,0
378,PRO ANGLER SPORT BUNDLE,0,0,0,0,1,0,0,0,1,1,0,1
380,Half-Life 2: Episode One,0,1,0,0,0,0,0,0,0,0,0,0
381,Grim Legends Collection,0,0,1,1,0,0,0,0,0,0,0,0
382,Abbey Games Bundle,1,0,1,0,1,1,1,0,0,0,0,0
388,Gold Indie Games Pack,1,1,1,1,0,1,0,1,0,0,0,0
400,Portal,0,1,0,0,0,0,0,0,0,0,0,0
401,Waveform Bundle,1,1,1,0,0,1,0,0,0,0,0,0
403,Monster Mayhem Bundle,1,1,1,1,0,1,1,0,0,0,0,0
404,Shadow Warrior Collection,0,1,1,0,0,0,0,0,0,0,0,0
406,Zeno Archives,1,1,0,0,0,0,0,0,0,0,0,0
408,Zenodyne R + Soundtrack,1,1,0,0,0,0,0,0,0,0,0,0
415,Dinosaur Hunt Mega Bundle,1,1,1,0,1,0,0,1,0,0,0,0
416,FobTi Indie Bundle,1,1,1,1,0,0,1,0,0,0,0,0
417,Tokyo School Life Soundtrack Edition,0,0,1,0,0,0,0,0,0,0,0,0
