game_id,rating,indie,action_,adventure,casual,simulation,strategy,rpg,early_access,free_to_play,sports,racing,massively_multiplayer
10,9.6,0,1,0,0,0,0,0,0,0,0,0,0
20,8.1,0,1,0,0,0,0,0,0,0,0,0,0
30,8.6,0,1,0,0,0,0,0,0,0,0,0,0
40,8,0,1,0,0,0,0,0,0,0,0,0,0
50,9.4,0,1,0,0,0,0,0,0,0,0,0,0
60,7.7,0,1,0,0,0,0,0,0,0,0,0,0
70,9.5,0,1,0,0,0,0,0,0,0,0,0,0
130,8.9,0,1,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,1,0,0,0,0,0,0
200,0,0,0,0,0,0,1,0,0,0,0,0,0
215,0,1,0,1,0,0,0,0,0,0,0,0,0
220,9.6,0,1,0,0,0,0,0,0,0,0,0,0
222,0,0,1,0,0,0,0,0,0,0,0,0,0
231,0,0,1,0,0,0,0,0,0,0,0,0,0
232,0,0,1,1,0,0,1,0,0,1,0,0,0
233,0,0,1,0,0,0,0,0,0,0,0,0,0
234,0,0,1,1,0,0,0,0,0,0,0,0,0
235,0,0,1,0,0,0,0,0,0,0,0,0,0
236,0,0,1,0,0,0,0,0,0,0,0,0,0
237,0,0,1,0,0,0,0,0,0,0,0,0,0
240,9.5,0,1,0,0,0,0,0,0,0,0,0,0
243,0,1,0,1,1,1,0,0,0,0,0,0,0
247,0,0,0,0,0,1,0,0,0,0,1,1,0
249,0,0,0,0,0,0,0,0,0,0,1,1,0
254,0,0,1,0,0,0,0,0,0,0,0,0,0
258,0,0,1,0,0,0,0,0,0,0,0,0,0
260,0,1,1,1,0,0,1,1,0,1,0,0,0
263,0,0,0,1,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,1,1,0,0,0,0,0,0
274,0,1,0,0,0,1,1,0,0,0,0,0,0
280,7.7,0,1,0,0,0,0,0,0,0,0,0,0
284,0,1,0,1,0,0,0,0,0,0,0,0,0
285,0,1,0,1,0,0,0,1,0,0,0,0,0
287,0,0,0,0,0,0,1,0,0,0,0,0,0
300,8.8,0,1,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,1,0,0,0,0,0,0
304,0,1,0,1,1,0,1,0,0,0,0,0,0
307,0,0,1,1,0,0,0,1,0,0,0,0,0
308,0,1,0,0,1,0,1,1,0,0,0,0,0
309,0,1,0,0,1,0,1,0,0,0,0,0,0
311,0,0,0,0,0,0,1,0,0,0,0,0,0
313,0,1,0,1,0,0,0,0,0,0,0,0,0
316,0,1,0,1,0,0,0,0,0,0,0,0,0
320,8.6,0,1,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,1,0,0,0,0,0,0
332,0,1,1,0,1,1,1,1,0,0,0,0,0
333,0,0,1,1,0,0,0,0,0,0,0,0,0
337,0,1,1,0,0,0,1,0,0,0,0,0,0
341,0,1,1,1,0,0,0,0,0,0,0,0,0
344,0,1,1,0,1,0,0,0,0,0,0,0,0
346,0,1,1,0,1,0,0,0,0,0,0,0,0
347,0,1,1,1,0,0,1,1,0,0,0,0,0
349,0,0,0,0,0,1,0,0,0,0,1,1,0
350,0,1,1,1,1,0,1,0,0,0,0,0,0
355,0,0,0,0,0,1,0,0,0,0,1,1,0
356,0,1,1,1,1,1,1,1,0,0,0,0,0
357,0,1,1,0,0,0,0,0,0,0,0,0,0
358,0,1,1,1,1,0,0,0,0,0,0,0,0
359,0,1,0,0,0,0,0,0,0,0,0,0,0
360,7.4,0,1,0,0,0,0,0,0,0,0,0,0
361,0,0,0,1,0,0,0,0,0,0,0,0,0
363,0,1,0,0,0,0,0,0,0,0,0,0,0
365,0,1,0,1,0,0,0,1,0,0,0,0,0
367,0,0,0,0,0,0,1,1,0,0,0,0,0
374,0,1,0,0,1,1,0,0,0,0,0,0,0
375,0,0,1,0,0,0,0,0,0,0,1,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,1,0,0,0,1,1,0,1
380,9.3,0,1,0,0,0,0,0,0,0,0,0,0
381,0,0,0,1,1,0,0,0,0,0,0,0,0
382,0,1,0,1,0,1,1,1,0,0,0,0,0
388,0,1,1,1,1,0,1,0,1,0,0,0,0
400,9.7,0,1,0,0,0,0,0,0,0,0,0,0
401,0,1,1,1,0,0,1,0,0,0,0,0,0
403,0,1,1,1,1,0,1,1,0,0,0,0,0
404,0,0,1,1,0,0,0,0,0,0,0,0,0
406,0,1,1,0,0,0,0,0,0,0,0,0,0
408,0,1,1,0,0,0,0,0,0,0,0,0,0
415,0,1,1,1,0,1,0,0,1,0,0,0,0
416,0,1,1,1,1,0,0,1,0,0,0,0,0
417,0,0,0,1,0,0,0,0,0,0,0,0,0
418,0,0,1,0,0,0,0,0,0,0,0,0,0
419,0,1,0,0,1,1,0,0,1,0,0,0,0
420,9.5,0,1,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,1,0,0,0,0,0,0,0
425,0,0,1,0,0,0,0,0,0,0,0,0,0
428,0,1,1,1,0,1,1,1,0,0,1,0,0
430,0,1,0,1,0,1,0,1,1,0,0,0,0
434,0,0,1,0,0,0,0,0,0,0,0,0,0
435,0,1,1,0,1,0,0,0,0,0,1,1,0
437,0,1,0,1,1,0,1,0,0,0,0,0,0
439,0,0,1,0,0,0,0,0,0,0,0,0,0
440,9.3,0,1,0,0,0,0,0,0,1,0,0,0
441,0,1,0,0,1,0,0,0,0,0,0,0,0
443,0,1,0,1,0,1,1,0,1,0,0,0,0
445,0,1,1,1,0,0,0,0,0,0,1,0,0
447,0,1,1,1,0,1,1,0,0,0,0,0,0
451,0,0,0,0,0,1,1,0,0,0,0,0,0
459,0,1,0,1,0,0,1,1,0,0,0,0,0
460,0,0,0,0,0,0,1,0,0,0,0,0,0
461,0,1,0,1,0,0,0,0,0,0,0,0,0
462,0,1,1,0,0,1,1,1,0,0,0,0,0
463,0,0,0,0,0,0,1,0,0,0,0,0,0
464,0,1,0,1,1,0,0,0,0,0,0,0,0
469,0,0,1,0,0,0,0,0,0,1,0,0,0
473,0,1,1,0,1,0,0,0,0,0,0,0,0
476,0,1,1,1,0,0,0,1,0,0,0,0,1
477,0,1,0,1,1,0,0,0,0,0,0,0,0
481,0,1,1,1,1,0,1,0,0,0,0,0,1
482,0,1,1,1,1,1,1,1,1,0,0,0,0
483,0,1,0,0,0,0,1,0,0,0,0,0,0
488,0,1,0,0,0,0,1,1,0,0,0,0,0
490,0,1,1,1,0,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0
